publication_date,news_section,travel_departure_date,travel_duration,travel_arrival_date,travel_departure_port,travel_port_of_call_list,travel_arrival_port,ship_type,ship_name,cargo_list,master_role,master_name,parsed_text
1851-12-02,E,1851-11-27,4dias,1851-12-01,Chagres,nan,La Habana,vapor am.,Philadel,"en lastre, A! los Sres. Drake, H. y comp. Parag. 33.",cap.,Brown,"e Chagres en 4 dias vapor am. Philadel phia, cap. Brown, ton. 1200, en lastre, A! los Sres. Drake, H. y comp. Parag. 33."
1851-12-02,E,1851-11-13,18dias,1851-12-01,Halifax,nan,La Habana,borg ing.,Vivid,", con bacalao, A  D. A. hobbe y comp.",cap,Kendrik,"De Halifax eu 18 dias borg ing. Vivid, cap Kendrik, ton. 132 , con bacalao, A  D. A. hobbe y comp."
1851-12-02,E,1851-11-10,21dias,1851-12-01,Bangor,nan,La Habana,berg. av.,John Dutton,"con efectos, a los Sres. Ulrici, P. y comp.",cap.,Burkell,"De Bangor en 21 dias berg. av. John Dutton, cap. Burkell, ton . 196, con efectos, a los Sres. Ulrici, P. y comp."
1851-12-02,E,1851-11-25,6dias,1851-12-01,iciembre 1- De New-York,nan,La Habana,vapor am.,Georgia,"Sres. Drake, 1. y comp. Pasag. 581.","o,",A!,"Diciembre 1- De New-York en 6 dias vapor am. Georgia, cap . Porter , tonel. 3000, con dinero, A! los Sres. Drake, 1. y comp. Pasag. 581."
1851-12-02,E,1851-10-02,60dias,1851-12-01,Barcelona,nan,La Habana,berg. erp,Duende,"con frutos, & D. J. Mazorra y comp.-Pasag. 7.",cap.,Boratau,"De Barcelona en 60 dias berg. erp Duende, cap. Boratau, ton . 168, con frutos, & D. J. Mazorra y comp.-Pasag. 7."
1851-12-04,E,1851-11-27,6dine,1851-12-03,Cienfuegos,nan,La Habana,berg. de,S. M. Ha,"66 dias berg. cap. Cacione, cap. Austrink, ton. 160, con tasajo. A! los res. Ricart, H. y comp. De Pantacola en 3 dias curbeta de los E. U. Albany, su comandante Mr. Platt.",(c),A. Montes. De Buenos-Aires,"e Cienfuegos en 6 dine berg. de S. M. Ha by nero, comandante el capitan de fragata D. JosA(c) A. Montes. De Buenos-Aires en 66 dias berg. cap. Cacione, cap. Austrink, ton. 160, con tasajo. A! los res. Ricart, H. y comp. De Pantacola en 3 dias curbeta de los E. U. Albany, su comandante Mr. Platt."
1851-12-04,E,1851-11-25,8dias,1851-12-03,New Orleans,nan,La Habana,berg. am.,Mount Vermont,"160, con viveres. los Sies. Alvares y comp De Now-York en 22 dias frag. belga Clotilde, cap. Bernard, ton. 550, con henoy ladrillos, & D.S. C. Burnham y comp. Do Boston en 26 dias berg. au. Thomas & Edward, capit. Smalley, ton. 199, con viveres y ndoquines, & D. S. C. Burnhamp Y comp.",cap.,Earl,"New Orleans en 8 dias berg. am. Mount Vermont, cap. Earl, tor, 160, con viveres. los Sies. Alvares y comp De Now-York en 22 dias frag. belga Clotilde, cap. Bernard, ton. 550, con henoy ladrillos, & D.S. C. Burnham y comp. Do Boston en 26 dias berg. au. Thomas & Edward, capit. Smalley, ton. 199, con viveres y ndoquines, & D. S. C. Burnhamp Y comp."
1851-12-04,E,1851-09-21,73dias,1851-12-03,Buenos Aires,nan,La Habana,berg. in.,Crimea,"184, con tasajo. A! los Sres. Balbiani, S. y comp.",cap.,Biasey,"De Buenos Aires en 73 dias berg. in. Crimea, cap. Biasey, tom: 184, con tasajo. A! los Sres. Balbiani, S. y comp."
1851-12-04,E,1851-11-24,9dias,1851-12-03,Galveston,nan,La Habana,berg. ing.,Sarah,"175, latre, A! los Sres. Crawford y EcharteDe Burdeos en64, dias berg. esp. Alberto, cap. Arragostia, ton, 130, con mercancAas, A! los Sres. Gutierrez y Casal. puestas del Sol no quedaba buque a la vista.",cap.,Lamb,"Galveston en 9 dias berg. ing. Sarah, cap. Lamb, tonel. 175, latre, A! los Sres. Crawford y EcharteDe Burdeos en64, dias berg. esp. Alberto, cap. Arragostia, ton, 130, con mercancAas, A! los Sres. Gutierrez y Casal. puestas del Sol no quedaba buque a la vista."
1851-12-05,E,1851-11-27,7dias,1851-12-04,Charleston,nan,La Habana,gol. amer.,Zephyr.,"con arros, a los Sres. Drake, H. y comp. puestas del Sol no quedaba buque A  la vista.",ap.,Byere,"e Charleston en 7 dias gol. amer. Zephyr. C bap. Byere, ton. 75, con arros, a los Sres. Drake, H. y comp. puestas del Sol no quedaba buque A  la vista."
1851-12-09,E,1851-11-29,9dias,1851-12-08,a Wilmington,nan,La Habana,bergan. tieneral,Taylor,"en maderas, & D. SC. Burnham y comp De Bangor en 12 dias frag. a Homer, cap Carlisle, ion. 293, con envases, A  les S. Dake, Hy comp '",capitan,Shute,"Da Wilmington en 9 dias bergan. tieneral Taylor, capitan Shute, ton. 10, en maderas, & D. SC. Burnham y comp De Bangor en 12 dias frag. a Homer, cap Carlisle, ion. 293, con envases, A  les S. Dake, Hy comp '"
1851-12-09,E,1851-11-24,14?,1851-12-08,Do Portland,nan,La Habana,in frag..,Farid Nickels,"con rad ra, A! los Sres. Drake, H. y comp. De Terranova en 21 dias berg. ingl. Caroline Stephen, cap Mugord, ton 190, con bacalao, & Sres. Duke, 1. y comp De liristo en 12 lis berg. am. Maris, cap. graham, ton. 143, con viveres, al capital.",cap.,Niekels,"Do Portland en 14 in frag.. Farid Nickels, cap. Niekels, ton. 198, con rad ra, A! los Sres. Drake, H. y comp. De Terranova en 21 dias berg. ingl. Caroline Stephen, cap Mugord, ton 190, con bacalao, & Sres. Duke, 1. y comp De liristo en 12 lis berg. am. Maris, cap. graham, ton. 143, con viveres, al capital."
