publication_date,travel_departure_port,travel_arrival_port,ship_type,ship_name,travel_days
1851-12-02,Barcelona,La Habana,berg. erp,Duende,60.0
1851-12-04,Buenos Aires,La Habana,berg. in.,Crimea,73.0
1851-12-12,Minachien,La Habana,frag. am.,Jasper,63.0
1851-12-14,Barcelona,La Habana,pol. esp.,Dorotea,63.0
1851-12-16,Bilbao,La Habana,berg. erp.,Paquote,64.0
1851-12-16,.De Barcelona,La Habana,gol. cap.,Culebra,62.0
1851-12-16,Santander,La Habana,frag. erp.,Santos,64.0
1851-12-16,l Havre,La Habana,"berg, esp.",Susans,64.0
1851-12-16,Mallorca,La Habana,berg. eap.,Cid,57.0
1851-12-18,Barcelona,La Habana,pol. exp.,Moniquita,64.0
1851-12-19,l Havre,La Habana,"berg, esp.",Unica Hija,55.0
1851-12-19,"SU
De Barcelona",La Habana,"gol, esp.",Safo,61.0
1851-12-19,Terranova,La Habana,borg. ing.,Iris,33.0
1851-12-20,Barcelona,La Habana,pol. esp.,Silencio,60.0
1851-12-23,Santander,La Habana,borg. osp.,Diana,80.0
1851-12-23,Greenock,La Habana,berg. ing.,Demerara,70.0
1851-12-24,o Amberes,La Habana,feng belga,Bourse,43.0
1851-12-24,l Havre,La Habana,frag. franc.,Gustave,57.0
1851-12-24,Gijon,La Habana,frag. esp.,Villa,57.0
1851-12-24,:Cadis,La Habana,"frag, esp.",Dians,60.0
1851-12-24,Canarias,La Habana,frag. cap.,Las Palmas,41.0
1851-12-24,CA!diz,La Habana,berg. esp.,Sabina,48.0
1851-12-25,Mallorca,La Habana,frag. esp.,Balear,60.0
1851-12-25,Barcelona,La Habana,pol. esp.,Concepcion,66.0
1851-12-25,Bilbao,La Habana,berg. esp.,Claudio,67.0
1851-12-25,la CoruA+-a,La Habana,berg esp,Pepillo,67.0
1851-12-26,New-Port,La Habana,berg. ing.,Favorite,73.0
1851-12-26,Londres,La Habana,berg. esp.,Buen Jesus,73.0
1851-12-26,Santander,La Habana,borz. esp.,Eupresa,67.0
1851-12-28,o Barcelona,La Habana,frag. esp.,Sirona,46.0
1851-12-28,o Barcelona,La Habana,pol. esp.,Acancia,47.0
1851-12-28,Buenos Aires,La Habana,berg. esp.,Lindo,45.0
1853-01-11,s New-Port,La Habana,1-erg.,Ing. Gondo'a,57.0
1853-01-26,Liverpool,La Habana,berg.,Ing. Lucy Sharps,60.0
1853-02-05,Barcelona,La Habana,frag. esp.,Sirens,48.0
1853-02-05,o Mallora,La Habana,pol. esp.,Isabel,69.0
1853-02-05,l Havre,La Habana,frag. franc.,Clementine,62.0
1853-02-05,CA!diz,La Habana,frag. de,S. M. Perla,43.0
1853-03-01,San Sebastian,La Habana,berg. esp.,Nuevo Carmencita,125.0
1853-03-01,Londres,La Habana,"berk, esp.",Juan Emilio,104.0
1853-03-01,Santander,La Habana,frag. esp.,Carolloa,110.0
1853-03-11,Newport,La Habana,frag. sueca,Scondis,45.0
1853-03-11,Liverpool,La Habana,frag. ing.,Calcuta,40.0
1853-03-22,liverpool,La Habana,fraz. e.,Maris Juan,40.0
1853-03-31,allorca,La Habana,pol. esp.,Linda,70.0
1853-04-09,Torranova,La Habana,berg. ing.,Banshee,31.0
1853-04-12,o Santander,La Habana,pop.,Acaucia,50.0
1853-04-12,Barcelona,La Habana,del,Aoltimo,35.0
1853-04-12,Vigo,La Habana,frag. cap.,Guia,42.0
1853-04-27,New-Port,La Habana,frag.sueca,New-York,70.0
1853-04-30,Burces,La Habana,bg. esp.,Mindel Pilar,49.0
1853-05-04,Liverpool,La Habana,terg. esp,Pastorita,51.0
1853-05-10,la CoruA+-a,La Habana,frag. cap.,Teresa,40.0
